basin_id,TWI_mean,TWI_max,TWI_std
SB1,6.7699,22.52,2.3343
SB2,6.8082,22.602,2.4581
SB3,6.942,24.8175,2.4401
SB4,6.8507,24.2186,2.411
SB5,7.6625,23.8398,3.5261
