basin_id,AF,T,Vf,Smf,Score_AF,Score_T,Score_Vf,Score_Smf,IAT,IAT_class
SB1,51.256,0.6331,1.4698,1.555,3,1,3,2,2.25,Class 3 — Moderate
SB2,47.781,0.787,3.3291,1.6884,3,1,3,2,2.25,Class 3 — Moderate
SB3,53.075,0.8544,3.1649,2.8571,3,1,3,2,2.25,Class 3 — Moderate
SB4,52.533,1.3624,4.575,2.4278,3,1,3,2,2.25,Class 3 — Moderate
SB5,47.032,0.8298,1.3897,1.6556,3,1,3,2,2.25,Class 3 — Moderate
