basin_id,SPI_mean,SPI_max,SPI_std
SB1,413933.75,22937666.0,1374878.8203
SB2,274668.6,14360948.0,972161.5586
SB3,3689111.2,90724760.0,10577490.4001
SB4,2328274.2,43404330.0,6413329.4748
SB5,251966.31,24016580.0,1141348.4745
