basin_id,Area_km2,Perimeter_km,Basin_Length_km,Total_Stream_Length_km,Stream_Count,Drainage_Density_Dd,Stream_Frequency_Fs,Texture_Ratio_T,Form_Factor_Ff,Elongation_Ratio_Re,Circularity_Ratio_Rc,Compactness_Cc,LengthOverlandFlow_Lg,ChannelMaintenance_C,Elev_Min_m,Elev_Max_m,Elev_Mean_m,Basin_Relief_H_m,Relief_Ratio_Rh,Relative_Relief,Ruggedness_Rn,Melton_MRN,Hypsometric_HI,Slope_Mean_deg,Slope_Std_deg,Slope_Skewness,TRI_Mean,total_streams_N,total_length_m,max_order,Rbm,wRbm,Nu_order1,Lu_order1_km,Nu_order2,Lu_order2_km,Nu_order3,Lu_order3_km,Nu_order4,Lu_order4_km,Nu_order5,Lu_order5_km,Nu_order6,Lu_order6_km,Shape_Class,Circ_Class,Hyps_Class,Cluster
SB1,36.4113,44.811,5.6815,104.1814,406,2.8612,11.1504,9.0603,1.128,1.1984,0.2279,2.0949,0.1747,0.3495,584.0,1537.0,833.58,953.0,0.167737,21.2671,2.7267,157.9337,0.2619,13.438,11.048,2.9228,18.798,406,104181.37614228025,5,1.7995,2.0247,209.0,54.0424,87.0,22.8531,46.0,10.9861,41.0,10.3071,23.0,5.9927,,,Circular,Elongated/Old,Peneplain (Old/Concave),0
SB2,45.5996,43.2638,6.3581,137.298,528,3.0109,11.5791,12.2042,1.128,1.1984,0.3061,1.8073,0.1661,0.3321,584.0,1537.0,833.58,953.0,0.149888,22.0277,2.8694,141.1277,0.2619,14.293,12.082,2.0662,20.63,528,137297.97562472138,5,1.7955,1.9632,269.0,68.1344,120.0,31.2911,71.0,18.2275,41.0,11.3449,27.0,8.3001,,,Circular,Elongated/Old,Peneplain (Old/Concave),0
SB3,54.4602,51.5952,6.9484,156.475,574,2.8732,10.5398,11.1251,1.128,1.1984,0.2571,1.9723,0.174,0.348,584.0,1537.0,833.58,953.0,0.137154,18.4707,2.7382,129.1378,0.2619,12.037,11.316,3.6769,16.188,574,156474.99817624936,6,1.8138,2.1177,293.0,82.77,113.0,31.5068,77.0,19.4145,33.0,7.6215,14.0,3.3648,44.0,11.7975,Circular,Elongated/Old,Peneplain (Old/Concave),0
SB4,60.7011,52.1307,7.3357,184.2705,634,3.0357,10.4446,12.1617,1.128,1.1984,0.2807,1.8875,0.1647,0.3294,584.0,1537.0,833.58,953.0,0.129913,18.281,2.893,122.3192,0.2619,12.535,9.81,2.0097,18.291,634,184270.48246874576,6,2.0677,2.2145,324.0,97.394,131.0,42.3371,97.0,22.969,27.0,6.5659,10.0,2.4819,45.0,12.5226,Circular,Elongated/Old,Peneplain (Old/Concave),0
SB5,119.1606,71.7095,10.2781,382.6793,1457,3.2115,12.2272,20.3181,1.128,1.1984,0.2912,1.8531,0.1557,0.3114,584.0,1537.0,833.58,953.0,0.092721,13.2897,3.0606,87.3025,0.2619,14.389,14.36,1.9054,21.671,1457,382679.2860716436,6,2.5216,2.0828,729.0,206.3957,357.0,90.2518,171.0,46.391,144.0,29.3656,45.0,7.7021,11.0,2.5731,Circular,Elongated/Old,Peneplain (Old/Concave),1
