basin_id,STI_mean,STI_max,STI_std
SB1,13699.453,760930.7,45569.1514
SB2,9099.27,476868.47,32265.1913
SB3,121528.72,2903225.5,346152.741
SB4,76825.734,1419829.4,211276.7801
SB5,8303.79,784091.7,37593.026
