basin_id,SL_anomaly_mean,SL_anomaly_max,SL_anomaly_std
SB1,0.7071,0.7071,
SB2,0.3033,1.2474,1.3351
SB3,-0.529,-0.4078,0.1309
SB4,0.8673,0.8673,
SB5,-0.198,1.1523,1.1811
