Comparison,Kendall_tau,p_value,Agreement
M1 vs M2,0.5270462766947299,0.206507295485425,Moderate
M1 vs M3,0.31622776601683794,0.44848886103153174,Weak
M2 vs M3,0.7999999999999999,0.08333333333333333,Strong
