basin_id,TWI_mean,TWI_max,SPI_mean,SPI_max,STI_mean,STI_max,FFPI_mean,FFPI_max,FFPI_high_frac,FFPI_class,rank_TWI_mean,rank_SPI_mean,rank_STI_mean,rank_FFPI_mean,FHI_rank,FHI_priority
SB1,6.77,22.52,365318.562,7700319.5,12081.785,256065.297,0.1183,0.5701,0.0002,Very Low,5.0,3.0,3.0,3.0,3.5,Low
SB2,6.808,22.602,254221.578,14360948.0,8420.786,476868.469,0.1224,0.5701,0.0003,Very Low,4.0,5.0,5.0,2.0,4.0,Low
SB3,6.942,24.818,3268188.5,90724760.0,107509.203,2903225.5,0.1107,0.5024,0.0,Very Low,2.0,1.0,1.0,5.0,2.25,High
SB4,6.851,24.219,1947574.125,43404328.0,64217.988,1419829.375,0.113,0.5593,0.0,Very Low,3.0,2.0,2.0,4.0,2.75,Moderate
SB5,7.663,23.84,272561.625,24016580.0,8973.422,784091.688,0.1315,0.6159,0.0007,Very Low,1.0,4.0,4.0,1.0,2.5,High
