basin_id,CF_M1,Rank_M1,Priority_M1,Score_M2,Rank_M2,Priority_M2,Score_M3,Rank_M3,Priority_M3
SB1,2.3,2,High,0.22343929514484404,4,Low,-2.0584296575922605,5,Low
SB2,2.5,3,Moderate,0.2306755307797144,3,Moderate,0.03919603454780419,3,Moderate
SB3,2.6,5,Low,0.12853637805689266,5,Low,-1.3922607430038256,4,Low
SB4,2.5,3,Moderate,0.2506613328997697,2,High,0.06979054870801756,2,High
SB5,2.1,1,High,0.5067297106322523,1,High,3.3417038173402642,1,High
